scope,database,mutation,pattern,n_pattern,n_db_total,n_db_eversig,n_db_classifiable,pct_of_db_total,pct_of_db_eversig,pct_of_db_classifiable
per_database,SynGO,G32A,Complex,19,32,23,4,59.38,82.61,NA
per_database,SynGO,R403C,Compensation,9,32,23,15,28.12,39.13,60.00
per_database,SynGO,R403C,Sign_reversal,2,32,23,15,6.25,8.70,13.33
per_database,SynGO,R403C,Progressive,0,32,23,15,0.00,0.00,0.00
per_database,SynGO,R403C,Late_onset,1,32,23,15,3.12,4.35,6.67
per_database,SynGO,R403C,Transient,1,32,23,15,3.12,4.35,6.67
per_database,SynGO,R403C,Natural_improvement,2,32,23,15,6.25,8.70,13.33
per_database,SynGO,R403C,Natural_worsening,0,32,23,15,0.00,0.00,0.00
per_database,SynGO,R403C,Complex,8,32,23,15,25.00,34.78,NA
ALL_universe,ALL,G32A,Compensation,1462,12221,5267,2533,11.96,27.76,57.72
ALL_universe,ALL,G32A,Sign_reversal,244,12221,5267,2533,2.00,4.63,9.63
ALL_universe,ALL,G32A,Progressive,0,12221,5267,2533,0.00,0.00,0.00
ALL_universe,ALL,G32A,Late_onset,94,12221,5267,2533,0.77,1.78,3.71
ALL_universe,ALL,G32A,Transient,2,12221,5267,2533,0.02,0.04,0.08
ALL_universe,ALL,G32A,Natural_improvement,729,12221,5267,2533,5.97,13.84,28.78
ALL_universe,ALL,G32A,Natural_worsening,2,12221,5267,2533,0.02,0.04,0.08
ALL_universe,ALL,G32A,Complex,2734,12221,5267,2533,22.37,51.91,NA
ALL_universe,ALL,R403C,Compensation,1612,12221,5267,3086,13.19,30.61,52.24
ALL_universe,ALL,R403C,Sign_reversal,386,12221,5267,3086,3.16,7.33,12.51
ALL_universe,ALL,R403C,Progressive,0,12221,5267,3086,0.00,0.00,0.00
ALL_universe,ALL,R403C,Late_onset,73,12221,5267,3086,0.60,1.39,2.37
ALL_universe,ALL,R403C,Transient,12,12221,5267,3086,0.10,0.23,0.39
ALL_universe,ALL,R403C,Natural_improvement,999,12221,5267,3086,8.17,18.97,32.37
ALL_universe,ALL,R403C,Natural_worsening,4,12221,5267,3086,0.03,0.08,0.13
ALL_universe,ALL,R403C,Complex,2181,12221,5267,3086,17.85,41.41,NA
