"pathway_id","gene_symbol"
"GOBP_RIBOSOME_BIOGENESIS","ERAL1"
"GOBP_RIBOSOME_BIOGENESIS","ERCC2"
"GOBP_RIBOSOME_BIOGENESIS","ERI1"
"GOBP_RIBOSOME_BIOGENESIS","ERI2"
"GOBP_RIBOSOME_BIOGENESIS","ERI3"
"GOBP_RIBOSOME_BIOGENESIS","ESF1"
"GOBP_RIBOSOME_BIOGENESIS","EXOSC1"
"GOBP_RIBOSOME_BIOGENESIS","EXOSC10"
"GOBP_RIBOSOME_BIOGENESIS","EXOSC2"
"GOBP_RIBOSOME_BIOGENESIS","EXOSC3"
"GOBP_RIBOSOME_BIOGENESIS","EXOSC4"
"GOBP_RIBOSOME_BIOGENESIS","EXOSC5"
"GOBP_RIBOSOME_BIOGENESIS","EXOSC6"
"GOBP_RIBOSOME_BIOGENESIS","EXOSC7"
"GOBP_RIBOSOME_BIOGENESIS","EXOSC8"
"GOBP_RIBOSOME_BIOGENESIS","EXOSC9"
"GOBP_RIBOSOME_BIOGENESIS","FASTKD2"
"GOBP_RIBOSOME_BIOGENESIS","FBL"
"GOBP_RIBOSOME_BIOGENESIS","FBL"
"GOBP_RIBOSOME_BIOGENESIS","FBLL1"
"GOBP_RIBOSOME_BIOGENESIS","FCF1"
"GOBP_RIBOSOME_BIOGENESIS","FDXACB1"
"GOBP_RIBOSOME_BIOGENESIS","FRG1"
"GOBP_RIBOSOME_BIOGENESIS","FRG1"
"GOBP_RIBOSOME_BIOGENESIS","FRG1"
"GOBP_RIBOSOME_BIOGENESIS","FRG1"
"GOBP_RIBOSOME_BIOGENESIS","FTSJ3"
"GOBP_RIBOSOME_BIOGENESIS","GAR1"
"GOBP_RIBOSOME_BIOGENESIS","GEMIN4"
"GOBP_RIBOSOME_BIOGENESIS","GLUL"
"GOBP_RIBOSOME_BIOGENESIS","GNL2"
"GOBP_RIBOSOME_BIOGENESIS","GNL3L"
"GOBP_RIBOSOME_BIOGENESIS","GPATCH4"
"GOBP_RIBOSOME_BIOGENESIS","GTF2H5"
"GOBP_RIBOSOME_BIOGENESIS","GTF3A"
"GOBP_RIBOSOME_BIOGENESIS","GTPBP10"
"GOBP_RIBOSOME_BIOGENESIS","GTPBP4"
"GOBP_RIBOSOME_BIOGENESIS","HEATR1"
"GOBP_RIBOSOME_BIOGENESIS","HEATR3"
"GOBP_RIBOSOME_BIOGENESIS","HELB"
"GOBP_RIBOSOME_BIOGENESIS","HELQ"
"GOBP_RIBOSOME_BIOGENESIS","IMP3"
"GOBP_RIBOSOME_BIOGENESIS","IMP4"
"GOBP_RIBOSOME_BIOGENESIS","ISG20"
"GOBP_RIBOSOME_BIOGENESIS","ISG20L2"
"GOBP_RIBOSOME_BIOGENESIS","KAT2B"
"GOBP_RIBOSOME_BIOGENESIS","KRI1"
"GOBP_RIBOSOME_BIOGENESIS","KRR1"
"GOBP_RIBOSOME_BIOGENESIS","LAS1L"
"GOBP_RIBOSOME_BIOGENESIS","LSG1"
"GOBP_RIBOSOME_BIOGENESIS","LSM6"
"GOBP_RIBOSOME_BIOGENESIS","LTO1"
"GOBP_RIBOSOME_BIOGENESIS","LTV1"
"GOBP_RIBOSOME_BIOGENESIS","LYAR"
"GOBP_RIBOSOME_BIOGENESIS","MAK16"
"GOBP_RIBOSOME_BIOGENESIS","MALSU1"
"GOBP_RIBOSOME_BIOGENESIS","MDN1"
"GOBP_RIBOSOME_BIOGENESIS","MDN1"
"GOBP_RIBOSOME_BIOGENESIS","METTL15"
"GOBP_RIBOSOME_BIOGENESIS","METTL15P1"
"GOBP_RIBOSOME_BIOGENESIS","METTL16"
"GOBP_RIBOSOME_BIOGENESIS","METTL17"
"GOBP_RIBOSOME_BIOGENESIS","METTL18"
"GOBP_RIBOSOME_BIOGENESIS","METTL25B"
"GOBP_RIBOSOME_BIOGENESIS","METTL5"
"GOBP_RIBOSOME_BIOGENESIS","MPHOSPH10"
"GOBP_RIBOSOME_BIOGENESIS","MPHOSPH6"
"GOBP_RIBOSOME_BIOGENESIS","MPV17L2"
"GOBP_RIBOSOME_BIOGENESIS","MRM1"
"GOBP_RIBOSOME_BIOGENESIS","MRM1"
"GOBP_RIBOSOME_BIOGENESIS","MRM2"
"GOBP_RIBOSOME_BIOGENESIS","MRM3"
"GOBP_RIBOSOME_BIOGENESIS","MRPL1"
"GOBP_RIBOSOME_BIOGENESIS","MRPL20"
"GOBP_RIBOSOME_BIOGENESIS","MRPL22"
"GOBP_RIBOSOME_BIOGENESIS","MRPL36"
"GOBP_RIBOSOME_BIOGENESIS","MRPS11"
"GOBP_RIBOSOME_BIOGENESIS","MRPS2"
"GOBP_RIBOSOME_BIOGENESIS","MRPS7"
"GOBP_RIBOSOME_BIOGENESIS","MRTO4"
"GOBP_RIBOSOME_BIOGENESIS","MTERF3"
"GOBP_RIBOSOME_BIOGENESIS","MTERF4"
"GOBP_RIBOSOME_BIOGENESIS","MTG2"
"GOBP_RIBOSOME_BIOGENESIS","MTREX"
"GOBP_RIBOSOME_BIOGENESIS","MYBBP1A"
"GOBP_RIBOSOME_BIOGENESIS","NAF1"
"GOBP_RIBOSOME_BIOGENESIS","NAT10"
"GOBP_RIBOSOME_BIOGENESIS","NGDN"
